token,description
dd61533869aa48f2aaa7e8a6418bdbe6,Peds crossing  parked cars  garbage  peds waiting
daa9fce50073470398da3c2bccdaf21b,Parked motorcycle  person pickung up garbage  pass construction vehicles and entrance to construction site
daa9fce50073470398da3c2bccdaf21b,Parked motorcycle  person pickung up garbage  pass construction vehicles and entrance to construction site
daa9fce50073470398da3c2bccdaf21b,Parked motorcycle  person pickung up garbage  pass construction vehicles and entrance to construction site
c075fbdd97124beaba95bc5c25149f30,Turn left  pass trucks on both sides  construction workers  sleeping construction workers  garbage  parked cars
c075fbdd97124beaba95bc5c25149f30,Turn left  pass trucks on both sides  construction workers  sleeping construction workers  garbage  parked cars
c075fbdd97124beaba95bc5c25149f30,Turn left  pass trucks on both sides  construction workers  sleeping construction workers  garbage  parked cars
de943e246dad4ad686de98008a634ecf,Turn left  waiting peds  turn left
de943e246dad4ad686de98008a634ecf,Turn left  waiting peds  turn left
de943e246dad4ad686de98008a634ecf,Turn left  waiting peds  turn left
4d475873416a4860900f5af213e0027c,Turn right  walking peds  pedestrian in blind spot in couple of frames  car park exit
4d475873416a4860900f5af213e0027c,Turn right  walking peds  pedestrian in blind spot in couple of frames  car park exit
4d475873416a4860900f5af213e0027c,Turn right  walking peds  pedestrian in blind spot in couple of frames  car park exit
03ee880dd4e348f4b3407f0d073c7c70,Wait at intersection  jaywalkers  parking lot  parked bicycle  turn right  construction  truck
03ee880dd4e348f4b3407f0d073c7c70,Wait at intersection  jaywalkers  parking lot  parked bicycle  turn right  construction  truck
03ee880dd4e348f4b3407f0d073c7c70,Wait at intersection  jaywalkers  parking lot  parked bicycle  turn right  construction  truck
7e3a6bdd6c6f4c8fb018cff404974446,Barriers  construction  lane switch  turn left
7e3a6bdd6c6f4c8fb018cff404974446,Barriers  construction  lane switch  turn left
7e3a6bdd6c6f4c8fb018cff404974446,Barriers  construction  lane switch  turn left
d0880a386b6d434bb5cd13c134af7a3e,Overtake parked car  bus turning  motorcycle
d0880a386b6d434bb5cd13c134af7a3e,Overtake parked car  bus turning  motorcycle
d0880a386b6d434bb5cd13c134af7a3e,Overtake parked car  bus turning  motorcycle
d7ebcbbd26d849b384c11bec8df28a9b,Intersection  peds in cafe  parked motorcycle  ped crossing
d7ebcbbd26d849b384c11bec8df28a9b,Intersection  peds in cafe  parked motorcycle  ped crossing
d7ebcbbd26d849b384c11bec8df28a9b,Intersection  peds in cafe  parked motorcycle  ped crossing
0c601ff2bf004fccafec366b08bf29e2,Ped crossing street in front of ego vehicle
0c601ff2bf004fccafec366b08bf29e2,Ped crossing street in front of ego vehicle
0c601ff2bf004fccafec366b08bf29e2,Ped crossing street in front of ego vehicle
b79d940da8df43d09ee972c2414ffeca,Parked cars  peds on the roadside
b79d940da8df43d09ee972c2414ffeca,Parked cars  peds on the roadside
b79d940da8df43d09ee972c2414ffeca,Parked cars  peds on the roadside
1d4db80d13f342aba4881b38099bc4b7,Delivery motorcycle turns left  veh turn right
1d4db80d13f342aba4881b38099bc4b7,Delivery motorcycle turns left  veh turn right
1d4db80d13f342aba4881b38099bc4b7,Delivery motorcycle turns left  veh turn right
3a1850241080418b88dcee97c7d17ed7,Taxi parked on road  bicycle rack  many peds  many jaywalkers  parked bicycles  ped exiting taxi  ped crossing traffic light  lane change  peds crossing crosswalk
3a1850241080418b88dcee97c7d17ed7,Taxi parked on road  bicycle rack  many peds  many jaywalkers  parked bicycles  ped exiting taxi  ped crossing traffic light  lane change  peds crossing crosswalk
3a1850241080418b88dcee97c7d17ed7,Taxi parked on road  bicycle rack  many peds  many jaywalkers  parked bicycles  ped exiting taxi  ped crossing traffic light  lane change  peds crossing crosswalk
6520b5f0d568414c973f791b30ee1548,Waiting  peds crossing intersection
6520b5f0d568414c973f791b30ee1548,Waiting  peds crossing intersection
6520b5f0d568414c973f791b30ee1548,Waiting  peds crossing intersection
82aef599650d462db73731b7ff40918b,Two parked motorcycles  overtake
82aef599650d462db73731b7ff40918b,Two parked motorcycles  overtake
82aef599650d462db73731b7ff40918b,Two parked motorcycles  overtake
f444b757d7e2444c889da10f02b73491,Construction  workers sitting on grass  garbage
f444b757d7e2444c889da10f02b73491,Construction  workers sitting on grass  garbage
f444b757d7e2444c889da10f02b73491,Construction  workers sitting on grass  garbage
9047b53fd41540649dce014a128cbe1b,Turn left  motorcycle driving  ped sitting
9047b53fd41540649dce014a128cbe1b,Turn left  motorcycle driving  ped sitting
9047b53fd41540649dce014a128cbe1b,Turn left  motorcycle driving  ped sitting
6e81ee0f64274490a403bbd6482c2bf9,Low traffic  following bus
6e81ee0f64274490a403bbd6482c2bf9,Low traffic  following bus
6e81ee0f64274490a403bbd6482c2bf9,Low traffic  following bus
bb73edb93a0a46c4be997c576e9beb61,No traffic  dead end street  overtake parked truck
bb73edb93a0a46c4be997c576e9beb61,No traffic  dead end street  overtake parked truck
bb73edb93a0a46c4be997c576e9beb61,No traffic  dead end street  overtake parked truck
359f9c029ae44e1d9d47c05bc7915561,Turn left  arrive at busy intersection  red light
359f9c029ae44e1d9d47c05bc7915561,Turn left  arrive at busy intersection  red light
359f9c029ae44e1d9d47c05bc7915561,Turn left  arrive at busy intersection  red light
c6c092a66329470f836714f46b92d59b,Parked cars  many peds  parked bicycles  trash can  parking lots
c6c092a66329470f836714f46b92d59b,Parked cars  many peds  parked bicycles  trash can  parking lots
c6c092a66329470f836714f46b92d59b,Parked cars  many peds  parked bicycles  trash can  parking lots
70368a18644046f898ab836fc8a3c03f,Busy intersection  oncoming traffic  construction zone on the left
70368a18644046f898ab836fc8a3c03f,Busy intersection  oncoming traffic  construction zone on the left
70368a18644046f898ab836fc8a3c03f,Busy intersection  oncoming traffic  construction zone on the left
8758419c03ab47a59ea6d6620176f3a3,Truck turns  parked cars  bump  bikes
8758419c03ab47a59ea6d6620176f3a3,Truck turns  parked cars  bump  bikes
8758419c03ab47a59ea6d6620176f3a3,Truck turns  parked cars  bump  bikes
eac3102e4cc24d4b95532bcc711a902f,Full parking lot  peds  exiting from car park
eac3102e4cc24d4b95532bcc711a902f,Full parking lot  peds  exiting from car park
eac3102e4cc24d4b95532bcc711a902f,Full parking lot  peds  exiting from car park
798e8504b4364d378270333a349ef508,Busy intersection  ped crossing  waiting for traffic light  construction zone on the left
798e8504b4364d378270333a349ef508,Busy intersection  ped crossing  waiting for traffic light  construction zone on the left
798e8504b4364d378270333a349ef508,Busy intersection  ped crossing  waiting for traffic light  construction zone on the left
4047f251c21a475abb49518e0fa6fa9e,Construction workers close to road  vehicle turn out  cross intersection
4047f251c21a475abb49518e0fa6fa9e,Construction workers close to road  vehicle turn out  cross intersection
4047f251c21a475abb49518e0fa6fa9e,Construction workers close to road  vehicle turn out  cross intersection
cf550d9670274ac1a7f274fbacb39c48,Construction  narrow road  construction workers  heavy construction vehicles  right turn
cf550d9670274ac1a7f274fbacb39c48,Construction  narrow road  construction workers  heavy construction vehicles  right turn
cf550d9670274ac1a7f274fbacb39c48,Construction  narrow road  construction workers  heavy construction vehicles  right turn
095d9b93b583425f910ae2afaf1d017d,Construction  barriers behind net  parked trucks  excavators  turn left
095d9b93b583425f910ae2afaf1d017d,Construction  barriers behind net  parked trucks  excavators  turn left
095d9b93b583425f910ae2afaf1d017d,Construction  barriers behind net  parked trucks  excavators  turn left
9a81caa3d5134d7f87ee4786ccef68f7,Narrow street  seveal peds  shadows  turn left  parked motorcycle
9a81caa3d5134d7f87ee4786ccef68f7,Narrow street  seveal peds  shadows  turn left  parked motorcycle
9a81caa3d5134d7f87ee4786ccef68f7,Narrow street  seveal peds  shadows  turn left  parked motorcycle
0e37d4a357db4246a908cfd97d17efc6,Pass parked vehicles  peds  arrive at intersection
0e37d4a357db4246a908cfd97d17efc6,Pass parked vehicles  peds  arrive at intersection
0e37d4a357db4246a908cfd97d17efc6,Pass parked vehicles  peds  arrive at intersection
37b32e4e8cf846679b2c0cb342dbd4aa,Oncoming car in the same lane  overtake parked car  turn left
37b32e4e8cf846679b2c0cb342dbd4aa,Oncoming car in the same lane  overtake parked car  turn left
37b32e4e8cf846679b2c0cb342dbd4aa,Oncoming car in the same lane  overtake parked car  turn left
6d4b2bd795ae4c66900ad98ccd2371a6,Cross intersection in group of cars  peds  bike rack
6d4b2bd795ae4c66900ad98ccd2371a6,Cross intersection in group of cars  peds  bike rack
6d4b2bd795ae4c66900ad98ccd2371a6,Cross intersection in group of cars  peds  bike rack
8b43539a55374b6c8ed60c95a42d63a2,Turn left  many parked heavy trucks  workers
8b43539a55374b6c8ed60c95a42d63a2,Turn left  many parked heavy trucks  workers
8b43539a55374b6c8ed60c95a42d63a2,Turn left  many parked heavy trucks  workers
446af4b1d7da4735a607bc3e45c2e0b3,Bus stop left  parked cars right  oncoming bus
446af4b1d7da4735a607bc3e45c2e0b3,Bus stop left  parked cars right  oncoming bus
446af4b1d7da4735a607bc3e45c2e0b3,Bus stop left  parked cars right  oncoming bus
83773bcf46ac486383529098de0542dd,Peds  nature  construction  trash can  parked truck  turn right
83773bcf46ac486383529098de0542dd,Peds  nature  construction  trash can  parked truck  turn right
83773bcf46ac486383529098de0542dd,Peds  nature  construction  trash can  parked truck  turn right
433a14f8dcf5457fb2c4def5c749122a,Jaywalkers  parked bike and scooter  parked car on the main road
433a14f8dcf5457fb2c4def5c749122a,Jaywalkers  parked bike and scooter  parked car on the main road
433a14f8dcf5457fb2c4def5c749122a,Jaywalkers  parked bike and scooter  parked car on the main road
9a1188aba4bf458c8220818a6c0be55a,Construction  strange cleaning vehicle parked on our lane
9a1188aba4bf458c8220818a6c0be55a,Construction  strange cleaning vehicle parked on our lane
9a1188aba4bf458c8220818a6c0be55a,Construction  strange cleaning vehicle parked on our lane
dcd5bc29543747e28ef02816dd458290,Wait at intersection  bike on sidewalk  worker blowing leaves
dcd5bc29543747e28ef02816dd458290,Wait at intersection  bike on sidewalk  worker blowing leaves
dcd5bc29543747e28ef02816dd458290,Wait at intersection  bike on sidewalk  worker blowing leaves
bb028034cb474e3da8953f83752a70a9,Wait at intersection  bike on sidewalk  worker blowing leaves  bicycle crossing
bb028034cb474e3da8953f83752a70a9,Wait at intersection  bike on sidewalk  worker blowing leaves  bicycle crossing
bb028034cb474e3da8953f83752a70a9,Wait at intersection  bike on sidewalk  worker blowing leaves  bicycle crossing
cc8c0bf57f984915a77078b10eb33198,Parked truck  construction  intersection  turn left  following a van
cc8c0bf57f984915a77078b10eb33198,Parked truck  construction  intersection  turn left  following a van
cc8c0bf57f984915a77078b10eb33198,Parked truck  construction  intersection  turn left  following a van
762e6aac0d6f4c1b9b0286ab4b2da654,Change lane  parked cars  overhead walkways
762e6aac0d6f4c1b9b0286ab4b2da654,Change lane  parked cars  overhead walkways
762e6aac0d6f4c1b9b0286ab4b2da654,Change lane  parked cars  overhead walkways
a8819942e8bb43b6a832c56dfb78cfc6,Exit passage  parking lot  flag  trucks  wait at intersection
a8819942e8bb43b6a832c56dfb78cfc6,Exit passage  parking lot  flag  trucks  wait at intersection
a8819942e8bb43b6a832c56dfb78cfc6,Exit passage  parking lot  flag  trucks  wait at intersection
7ad94b6e54f641208bf59cba6bb55220,Parking lots  oncoming special electrical vehicle
7ad94b6e54f641208bf59cba6bb55220,Parking lots  oncoming special electrical vehicle
7ad94b6e54f641208bf59cba6bb55220,Parking lots  oncoming special electrical vehicle
59530445fcc04c2090bfaf63f342f794,Wait at intersection  truck  peds  turn right  parking lot
59530445fcc04c2090bfaf63f342f794,Wait at intersection  truck  peds  turn right  parking lot
59530445fcc04c2090bfaf63f342f794,Wait at intersection  truck  peds  turn right  parking lot
30e77a3561ce4f1bb4fd90e322ea29d7,Parking lots  parked truck  construction  congestion  worker directing traffic  passing cars
30e77a3561ce4f1bb4fd90e322ea29d7,Parking lots  parked truck  construction  congestion  worker directing traffic  passing cars
30e77a3561ce4f1bb4fd90e322ea29d7,Parking lots  parked truck  construction  congestion  worker directing traffic  passing cars
cb0cd06a1dd84271968466d7b65e48f8,Exit construction  ped on crosswalk  construction workers  parking lot
cb0cd06a1dd84271968466d7b65e48f8,Exit construction  ped on crosswalk  construction workers  parking lot
cb0cd06a1dd84271968466d7b65e48f8,Exit construction  ped on crosswalk  construction workers  parking lot
b0b26c1e5a1140e69598422f12ae1dc0,Two turning trucks  wait  turn left
b0b26c1e5a1140e69598422f12ae1dc0,Two turning trucks  wait  turn left
b0b26c1e5a1140e69598422f12ae1dc0,Two turning trucks  wait  turn left
a5d7cc4bf3404cccb89932d94ccb9da6,Turn left  peds near parked bus  bird
a5d7cc4bf3404cccb89932d94ccb9da6,Turn left  peds near parked bus  bird
a5d7cc4bf3404cccb89932d94ccb9da6,Turn left  peds near parked bus  bird
c0cb50847c3949a0b4baf2e200ac897c,Peds  ped with bag  bus stop  parking lot  turn right  follow cyclist  trailers  turn left
c0cb50847c3949a0b4baf2e200ac897c,Peds  ped with bag  bus stop  parking lot  turn right  follow cyclist  trailers  turn left
c0cb50847c3949a0b4baf2e200ac897c,Peds  ped with bag  bus stop  parking lot  turn right  follow cyclist  trailers  turn left
860ef56791a947baadb27dd00bd5d4b3,Parked trucks  construction vehicles  road blocked relative to baseline route  find deviation
860ef56791a947baadb27dd00bd5d4b3,Parked trucks  construction vehicles  road blocked relative to baseline route  find deviation
860ef56791a947baadb27dd00bd5d4b3,Parked trucks  construction vehicles  road blocked relative to baseline route  find deviation
fbf27198b3424e28ab1de2a12eb3dc4a,Wait at intersection  running ped
fbf27198b3424e28ab1de2a12eb3dc4a,Wait at intersection  running ped
fbf27198b3424e28ab1de2a12eb3dc4a,Wait at intersection  running ped
5557f4edc1464442812293e2ea90a586,Parked scooter  flock of pigeons  person sitting on top of bench  two trucks passing  turn right
5557f4edc1464442812293e2ea90a586,Parked scooter  flock of pigeons  person sitting on top of bench  two trucks passing  turn right
5557f4edc1464442812293e2ea90a586,Parked scooter  flock of pigeons  person sitting on top of bench  two trucks passing  turn right
78c5f7d7b547483c906d8524a8c3190f,Wait at intersection  turn left  bike rack  parked cars  peds
78c5f7d7b547483c906d8524a8c3190f,Wait at intersection  turn left  bike rack  parked cars  peds
78c5f7d7b547483c906d8524a8c3190f,Wait at intersection  turn left  bike rack  parked cars  peds
01c3f5e39956402da3e37845632fadca,Parked cars  oncoming semi  two oncoming bikes  parked motorcycle  bike rack
01c3f5e39956402da3e37845632fadca,Parked cars  oncoming semi  two oncoming bikes  parked motorcycle  bike rack
01c3f5e39956402da3e37845632fadca,Parked cars  oncoming semi  two oncoming bikes  parked motorcycle  bike rack
e9a94a93c36a4adb831eb67ec8bdf289,Turn right  follow cyclist  turn right
e9a94a93c36a4adb831eb67ec8bdf289,Turn right  follow cyclist  turn right
e9a94a93c36a4adb831eb67ec8bdf289,Turn right  follow cyclist  turn right
a1ca2ba59ac9452fb3da60019bf32c71,Parked motorcycles  parking lot  wait at intersection  truck  ped very close to ego-vehicle
a1ca2ba59ac9452fb3da60019bf32c71,Parked motorcycles  parking lot  wait at intersection  truck  ped very close to ego-vehicle
a1ca2ba59ac9452fb3da60019bf32c71,Parked motorcycles  parking lot  wait at intersection  truck  ped very close to ego-vehicle
ce2d6bdc33084dc1a2780f41f6740e06,Peds  follow motorcycle  motorcycle turns right
ce2d6bdc33084dc1a2780f41f6740e06,Peds  follow motorcycle  motorcycle turns right
ce2d6bdc33084dc1a2780f41f6740e06,Peds  follow motorcycle  motorcycle turns right
e6cb595f6df44b3999db28c65f2244ac,Fast motorcycle on street ahead  stop  parked bicycles  turn right
e6cb595f6df44b3999db28c65f2244ac,Fast motorcycle on street ahead  stop  parked bicycles  turn right
e6cb595f6df44b3999db28c65f2244ac,Fast motorcycle on street ahead  stop  parked bicycles  turn right
cb3ef7b7ef124983b336c781f134cdfb,Monument  truck  peds  turn left  downhill
cb3ef7b7ef124983b336c781f134cdfb,Monument  truck  peds  turn left  downhill
cb3ef7b7ef124983b336c781f134cdfb,Monument  truck  peds  turn left  downhill
bed8426a524d45afab05b19cf02386b2,Many peds  parked buses  parked cars
bed8426a524d45afab05b19cf02386b2,Many peds  parked buses  parked cars
bed8426a524d45afab05b19cf02386b2,Many peds  parked buses  parked cars
36fbee38a28543ea9e27a67d64e1dee4,Many parked cars  animal  many peds  wait at intersection
36fbee38a28543ea9e27a67d64e1dee4,Many parked cars  animal  many peds  wait at intersection
36fbee38a28543ea9e27a67d64e1dee4,Many parked cars  animal  many peds  wait at intersection
00590cbfa24a430a8c274b51e1c71231,Delayed left turn  jaywalker  parking lot  bus stops  parked bicycle  truck  turn right
00590cbfa24a430a8c274b51e1c71231,Delayed left turn  jaywalker  parking lot  bus stops  parked bicycle  truck  turn right
00590cbfa24a430a8c274b51e1c71231,Delayed left turn  jaywalker  parking lot  bus stops  parked bicycle  truck  turn right
52b30ecd104a4f4eab6f8f5684a73e56,Enter car park  jaywalker  parked motorcycles  pass a bus
52b30ecd104a4f4eab6f8f5684a73e56,Enter car park  jaywalker  parked motorcycles  pass a bus
52b30ecd104a4f4eab6f8f5684a73e56,Enter car park  jaywalker  parked motorcycles  pass a bus
5c9bd7ead37e4aa9989f7909f3a78baa,Parking lot  parked scooters  parked cars  ped  cross crosswalk  bump  parked bicycle
5c9bd7ead37e4aa9989f7909f3a78baa,Parking lot  parked scooters  parked cars  ped  cross crosswalk  bump  parked bicycle
5c9bd7ead37e4aa9989f7909f3a78baa,Parking lot  parked scooters  parked cars  ped  cross crosswalk  bump  parked bicycle
ef5f216134a94e308697ab4c75402a20,Parking lot  cross crosswalk  go over bump  construction  peds  scooter on main road
ef5f216134a94e308697ab4c75402a20,Parking lot  cross crosswalk  go over bump  construction  peds  scooter on main road
ef5f216134a94e308697ab4c75402a20,Parking lot  cross crosswalk  go over bump  construction  peds  scooter on main road
dc6235e2281943548084c484cb38b876,Peds crossing at crosswalk  drive along parked cars  ped  workers kneeling
dc6235e2281943548084c484cb38b876,Peds crossing at crosswalk  drive along parked cars  ped  workers kneeling
dc6235e2281943548084c484cb38b876,Peds crossing at crosswalk  drive along parked cars  ped  workers kneeling
8857cf15fa7049a6b000490835d3b9fc,Parking lot  peds
8857cf15fa7049a6b000490835d3b9fc,Parking lot  peds
8857cf15fa7049a6b000490835d3b9fc,Parking lot  peds
4f28b42169f4404cbab4b43476e13885,Parked cars  turn left  parked bus
4f28b42169f4404cbab4b43476e13885,Parked cars  turn left  parked bus
4f28b42169f4404cbab4b43476e13885,Parked cars  turn left  parked bus
f57957ebc5654b649a0786d993b64be4,Drive through parking lot  stopped bus  parked scooters  parked motorcycles  peds  parked trucks  approach barrier
f57957ebc5654b649a0786d993b64be4,Drive through parking lot  stopped bus  parked scooters  parked motorcycles  peds  parked trucks  approach barrier
f57957ebc5654b649a0786d993b64be4,Drive through parking lot  stopped bus  parked scooters  parked motorcycles  peds  parked trucks  approach barrier
d90b94e8bfd446cd9407f48665122268,Approach intersection  fence  turn left  peds in sidewalk
d90b94e8bfd446cd9407f48665122268,Approach intersection  fence  turn left  peds in sidewalk
d90b94e8bfd446cd9407f48665122268,Approach intersection  fence  turn left  peds in sidewalk
4db0eee3b82d49b198c1a411cf7f7d68,Heavy traffic  sitting peds  parked motorcycles  2 jaywalkers  turn right  busy intersection
4db0eee3b82d49b198c1a411cf7f7d68,Heavy traffic  sitting peds  parked motorcycles  2 jaywalkers  turn right  busy intersection
4db0eee3b82d49b198c1a411cf7f7d68,Heavy traffic  sitting peds  parked motorcycles  2 jaywalkers  turn right  busy intersection
7365754410624f2f85087003f4ed41ad,Bus stop  parked bicycles  bus stop  bicycle rack  peds
7365754410624f2f85087003f4ed41ad,Bus stop  parked bicycles  bus stop  bicycle rack  peds
7365754410624f2f85087003f4ed41ad,Bus stop  parked bicycles  bus stop  bicycle rack  peds
01c8c59260db4a3682d7b4f8da65425e,Ped standing  ped sitting  two parked motorcycles on road
01c8c59260db4a3682d7b4f8da65425e,Ped standing  ped sitting  two parked motorcycles on road
01c8c59260db4a3682d7b4f8da65425e,Ped standing  ped sitting  two parked motorcycles on road
1fbcc26ebf6948bb964d3ae74939e8ea,Wait at intersection  turn left  bushes  bus stops  peds  parking lot
1fbcc26ebf6948bb964d3ae74939e8ea,Wait at intersection  turn left  bushes  bus stops  peds  parking lot
1fbcc26ebf6948bb964d3ae74939e8ea,Wait at intersection  turn left  bushes  bus stops  peds  parking lot
94f224a2a36c4bbbab59120cc6c31f6e,Oncoming scooter  scooters  busy intersection  walking peds
94f224a2a36c4bbbab59120cc6c31f6e,Oncoming scooter  scooters  busy intersection  walking peds
94f224a2a36c4bbbab59120cc6c31f6e,Oncoming scooter  scooters  busy intersection  walking peds
ba76f4185aa34ed3bff467ac640da902,Turn right  busy intersection  construction  peds  parked bicycles  construction vehicle  motorcycle
ba76f4185aa34ed3bff467ac640da902,Turn right  busy intersection  construction  peds  parked bicycles  construction vehicle  motorcycle
ba76f4185aa34ed3bff467ac640da902,Turn right  busy intersection  construction  peds  parked bicycles  construction vehicle  motorcycle
bd210a5bc7004d8c94b68cf6366612a2,Parked bicycles  bump  overtake parked buses  irregularly parked cars
bd210a5bc7004d8c94b68cf6366612a2,Parked bicycles  bump  overtake parked buses  irregularly parked cars
bd210a5bc7004d8c94b68cf6366612a2,Parked bicycles  bump  overtake parked buses  irregularly parked cars
12cd5f88732749a58725528bb3d86958,Turn left  peds at restaurant  parked bicycles  autonomous vehicle  parked vehicles  passing at narrow street  taxi  ped with bag  sitting ped
12cd5f88732749a58725528bb3d86958,Turn left  peds at restaurant  parked bicycles  autonomous vehicle  parked vehicles  passing at narrow street  taxi  ped with bag  sitting ped
12cd5f88732749a58725528bb3d86958,Turn left  peds at restaurant  parked bicycles  autonomous vehicle  parked vehicles  passing at narrow street  taxi  ped with bag  sitting ped
cd1a8954ff904333bb13fa1a6ee526fd,Jaywalkers  turn left  stop for ped crossing  turn left  peds sitting in a restaurant
cd1a8954ff904333bb13fa1a6ee526fd,Jaywalkers  turn left  stop for ped crossing  turn left  peds sitting in a restaurant
cd1a8954ff904333bb13fa1a6ee526fd,Jaywalkers  turn left  stop for ped crossing  turn left  peds sitting in a restaurant
d0b2d916178a402a842c88f394d7d7e8,Passing scooter  wait at intersection  turn right
d0b2d916178a402a842c88f394d7d7e8,Passing scooter  wait at intersection  turn right
d0b2d916178a402a842c88f394d7d7e8,Passing scooter  wait at intersection  turn right
c0d3796765e2452d990309b2568adac5,Worker stopped ego car  worker removes cones  follow truck  heavy traffic  construction  peds
c0d3796765e2452d990309b2568adac5,Worker stopped ego car  worker removes cones  follow truck  heavy traffic  construction  peds
c0d3796765e2452d990309b2568adac5,Worker stopped ego car  worker removes cones  follow truck  heavy traffic  construction  peds
73d9a36f20594e658020ebfc5b0ba74a,Peds crossing crosswalk  barrier being pushed across crosswalk  turn left  peds
73d9a36f20594e658020ebfc5b0ba74a,Peds crossing crosswalk  barrier being pushed across crosswalk  turn left  peds
73d9a36f20594e658020ebfc5b0ba74a,Peds crossing crosswalk  barrier being pushed across crosswalk  turn left  peds
9eaabad9385b4fe1b9f397edead326ac,Wait for oncoming car to pass  narrow road  parked cars
9eaabad9385b4fe1b9f397edead326ac,Wait for oncoming car to pass  narrow road  parked cars
9eaabad9385b4fe1b9f397edead326ac,Wait for oncoming car to pass  narrow road  parked cars
fcb40dc8514444c49b1fdc06f80a123b,Parking toll gate
fcb40dc8514444c49b1fdc06f80a123b,Parking toll gate
fcb40dc8514444c49b1fdc06f80a123b,Parking toll gate
f4395dd8e4004f12a8dec3079a93d804,Parking lot  parked motorcycles  turn right  jaywalker
f4395dd8e4004f12a8dec3079a93d804,Parking lot  parked motorcycles  turn right  jaywalker
f4395dd8e4004f12a8dec3079a93d804,Parking lot  parked motorcycles  turn right  jaywalker
2538a745a83f430eb590d48b4743e179,Ped walking to the ego car  parked truck ahead  parking lot
2538a745a83f430eb590d48b4743e179,Ped walking to the ego car  parked truck ahead  parking lot
2538a745a83f430eb590d48b4743e179,Ped walking to the ego car  parked truck ahead  parking lot
4431d97ea17044ad9c09c13d16684054,Parking lot with lots of parked cars
4431d97ea17044ad9c09c13d16684054,Parking lot with lots of parked cars
4431d97ea17044ad9c09c13d16684054,Parking lot with lots of parked cars
c9c28de6e66442f7921858f1ebbec3ef,Turn left  toll gate  oncoming bus
c9c28de6e66442f7921858f1ebbec3ef,Turn left  toll gate  oncoming bus
c9c28de6e66442f7921858f1ebbec3ef,Turn left  toll gate  oncoming bus
2c1f2e5096434cd78919b2ae442d4ba4,Peds  bus stop  taxi  narrow road  parking lot  slope
2c1f2e5096434cd78919b2ae442d4ba4,Peds  bus stop  taxi  narrow road  parking lot  slope
2c1f2e5096434cd78919b2ae442d4ba4,Peds  bus stop  taxi  narrow road  parking lot  slope
c67b72f4a0bd4f2b96ecbd0e01c58232,Parked motorcycle  bike  parking driveway  parked cars
c67b72f4a0bd4f2b96ecbd0e01c58232,Parked motorcycle  bike  parking driveway  parked cars
c67b72f4a0bd4f2b96ecbd0e01c58232,Parked motorcycle  bike  parking driveway  parked cars
93032908bafd484ea10a39b0d5d3fff6,Many trees  narrow road
93032908bafd484ea10a39b0d5d3fff6,Many trees  narrow road
93032908bafd484ea10a39b0d5d3fff6,Many trees  narrow road
b886756c3fd641eeba9dda3932e196c0,Parking bay  peds  ped hesitates to cross  ego car stops  ped crossing
b886756c3fd641eeba9dda3932e196c0,Parking bay  peds  ped hesitates to cross  ego car stops  ped crossing
b886756c3fd641eeba9dda3932e196c0,Parking bay  peds  ped hesitates to cross  ego car stops  ped crossing
019b370afb444a2e8ce85654898307c8,Bump  turn right  ped attempting to walk in front of car  jaywalker
